,SensorID,SensorTown,countyid
0,DEBB007,Elsterwerda,12062
1,DEBB021,Potsdam,12054
2,DEBB026,Spremberg,12071
3,DEBB029,Schwedt/Oder,12073
4,DEBB032,Eisenhüttenstadt,12067
5,DEBB042,Frankfurt (Oder),12053
6,DEBB044,Cottbus,12052
7,DEBB045,Frankfurt (Oder),12053
8,DEBB048,Neuruppin,12068
9,DEBB049,Brandenburg an der Havel,12051
10,DEBB050,Bernau bei Berlin,12060
11,DEBB053,Buckow (Märkische Schweiz),12064
12,DEBB054,Potsdam,12054
13,DEBB055,Brandenburg an der Havel,12051
14,DEBB056,Paulinenaue,12063
15,DEBB060,Eberswalde,12060
16,DEBB063,Wittenberge,12070
17,DEBB064,Cottbus,12052
18,DEBB065,Bad Belzig,12069
19,DEBB066,Neu Zauche,12061
20,DEBB067,Nauen,12063
21,DEBB068,Bernau bei Berlin,12060
22,DEBB073,Potsdam,12054
23,DEBB075,Potsdam,12054
24,DEBB076,Cottbus,12052
25,DEBB077,Stechlin,12065
26,DEBB078,Neuruppin,12068
27,DEBB079,Spremberg,12071
29,DEBB082,Königs Wusterhausen,12061
30,DEBB083,Spremberg,12071
31,DEBB084,Vogelsang,12067
32,DEBB085,Spremberg,12071
33,DEBB086,Blankenfelde-Mahlow,12072
34,DEBB087,Cottbus,12052
35,DEBB088,Premnitz,12063
36,DEBB092,Frankfurt (Oder),12053
39,DEBE010,Berlin,11
40,DEBE018,Berlin,11
41,DEBE027,Berlin,11
42,DEBE032,Berlin,11
43,DEBE034,Berlin,11
44,DEBE051,Berlin,11
45,DEBE056,Berlin,11
46,DEBE061,Berlin,11
47,DEBE062,Berlin,11
48,DEBE063,Berlin,11
49,DEBE064,Berlin,11
50,DEBE065,Berlin,11
51,DEBE066,Berlin,11
52,DEBE067,Berlin,11
53,DEBE068,Berlin,11
54,DEBE069,Berlin,11
55,DEBW001,Karlsruhe,8212
57,DEBW005,Mannheim,8222
58,DEBW006,Mannheim,8222
59,DEBW007,Mannheim,8222
60,DEBW009,Heidelberg,8221
61,DEBW010,Wiesloch,8226
62,DEBW011,Stuttgart,8111
63,DEBW013,Stuttgart,8111
64,DEBW015,Heilbronn,8121
65,DEBW019,Ulm,8421
66,DEBW022,Kehl,8317
67,DEBW023,Weil am Rhein,8336
68,DEBW024,Ludwigsburg,8118
69,DEBW026,Plochingen,8116
70,DEBW027,Reutlingen,8415
71,DEBW029,Aalen,8136
73,DEBW033,Pforzheim,8231
74,DEBW034,Waiblingen,8119
75,DEBW037,Freudenstadt,8237
76,DEBW038,Friedrichshafen,8435
77,DEBW039,Villingen-Schwenningen,8326
78,DEBW040,Waldshut-Tiengen,8337
79,DEBW042,Filderstadt,8116
80,DEBW046,Biberach an der Riß,8426
81,DEBW052,Konstanz,8335
82,DEBW056,Schwäbisch Hall,8127
83,DEBW059,Tauberbischofsheim,8128
84,DEBW073,Neuenburg am Rhein,8315
85,DEBW076,Baden-Baden,8211
86,DEBW080,Karlsruhe,8212
87,DEBW081,Karlsruhe,8212
88,DEBW084,Freiburg im Breisgau,8311
89,DEBW087,Sonnenbühl,8415
90,DEBW098,Mannheim,8222
91,DEBW099,Stuttgart,8111
92,DEBW103,Wilhelmsfeld,8226
93,DEBW107,Tübingen,8416
94,DEBW110,Pfullendorf,8437
95,DEBW111,Offenburg,8317
96,DEBW112,Gärtringen,8115
97,DEBW116,Stuttgart,8111
98,DEBW117,Ludwigsburg,8118
99,DEBW118,Stuttgart,8111
