Region,Regions-ID,KV,Kreistyp,Wert,Bundeswert
Eisenach,16056,TH,Ländliches Umland,8.9,5.7
Sonneberg,16072,TH,Ländlicher Raum,8.7,5.7
Ammerland,3451,NI,Verdichtetes Umland,8.5,5.7
Saalfeld-Rudolstadt,16073,TH,Ländlicher Raum,8.3,5.7
Gifhorn,3151,NI,Ländlicher Raum,8.2,5.7
Oldenburg,3403,NI,Kernstädte,8.2,5.7
Schleswig-Flensburg,1059,SH,Ländlicher Raum,8.1,5.7
Osterode,3156,NI,Ländliches Umland,8.1,5.7
Main-Tauber-Kreis,8128,BW,Ländlicher Raum,8.0,5.7
Warendorf,5570,WL,Verdichtetes Umland,7.9,5.7
Offenbach,6413,HE,Kernstädte,7.9,5.7
Flensburg,1001,SH,Ländlicher Raum,7.7,5.7
Wilhelmshaven,3405,NI,Verdichtetes Umland,7.7,5.7
Leer,3457,NI,Ländliches Umland,7.7,5.7
Hagen,5914,WL,Kernstädte,7.7,5.7
Lk.Fürth,9573,BY,Verdichtetes Umland,7.7,5.7
Hildburghausen,16069,TH,Ländlicher Raum,7.7,5.7
Nordhausen,16062,TH,Ländlicher Raum,7.7,5.7
Vulkaneifel,7233,RP,Ländlicher Raum,7.5,5.7
Suhl,16054,TH,Ländlicher Raum,7.5,5.7
Cloppenburg,3453,NI,Ländlicher Raum,7.4,5.7
Rhein-Kreis Neuss,5162,NO,Verdichtetes Umland,7.4,5.7
Salzgitter,3102,NI,Kernstädte,7.3,5.7
Bochum,5911,WL,Kernstädte,7.3,5.7
Werra-Meißner-Kreis,6636,HE,Ländliches Umland,7.3,5.7
Lk.Kaiserslautern,7335,RP,Verdichtetes Umland,7.3,5.7
Nienburg,3256,NI,Ländlicher Raum,7.2,5.7
Wuppertal,5124,NO,Kernstädte,7.2,5.7
Mönchengladbach,5116,NO,Kernstädte,7.2,5.7
Solingen,5122,NO,Kernstädte,7.2,5.7
Saarlouis,10044,SL,Verdichtetes Umland,7.2,5.7
Altenburger Land,16077,TH,Ländliches Umland,7.2,5.7
Dithmarschen,1051,SH,Ländlicher Raum,7.1,5.7
Friesland,3455,NI,Verdichtetes Umland,7.1,5.7
Uelzen,3360,NI,Ländlicher Raum,7.1,5.7
Siegen-Wittgenstein,5970,WL,Verdichtetes Umland,7.1,5.7
Ennepe-Ruhr-Kreis,5954,WL,Verdichtetes Umland,7.1,5.7
Merzig-Wadern,10042,SL,Verdichtetes Umland,7.1,5.7
Barnim,12060,BB,Ländliches Umland,7.1,5.7
Wartburgkreis,16063,TH,Ländliches Umland,7.1,5.7
Northeim,3155,NI,Ländlicher Raum,7.0,5.7
Steinfurt,5566,WL,Verdichtetes Umland,7.0,5.7
Nordfriesland,1054,SH,Ländlicher Raum,6.9,5.7
Grafschaft Bentheim,3456,NI,Ländlicher Raum,6.9,5.7
Gelsenkirchen,5513,WL,Kernstädte,6.9,5.7
Düren,5358,NO,Verdichtetes Umland,6.9,5.7
Ahrweiler,7131,RP,Ländliches Umland,6.9,5.7
Aurich,3452,NI,Ländliches Umland,6.8,5.7
Dortmund,5913,WL,Kernstädte,6.8,5.7
Leverkusen,5316,NO,Kernstädte,6.8,5.7
Lk.Kassel,6633,HE,Verdichtetes Umland,6.8,5.7
Eifelkreis Bitburg-Prüm,7232,RP,Ländlicher Raum,6.8,5.7
Straubing,9263,BY,Ländlicher Raum,6.8,5.7
Erfurt,16051,TH,Kernstädte,6.8,5.7
Leipzig,14713,SN,Kernstädte,6.8,5.7
Wesermarsch,3461,NI,Ländlicher Raum,6.7,5.7
Emsland,3454,NI,Ländlicher Raum,6.7,5.7
Region Hannover,3241,NI,Verdichtetes Umland,6.7,5.7
Rheinisch-Bergischer Kr.,5378,NO,Verdichtetes Umland,6.7,5.7
Gießen,6531,HE,Verdichtetes Umland,6.7,5.7
Kusel,7336,RP,Ländliches Umland,6.7,5.7
Bamberg,9461,BY,Ländliches Umland,6.7,5.7
Kitzingen,9675,BY,Ländliches Umland,6.7,5.7
Schmalkalden-Meiningen,16066,TH,Ländlicher Raum,6.7,5.7
Lk.Offenbach,6438,HE,Verdichtetes Umland,6.6,5.7
Marburg-Biedenkopf,6534,HE,Ländliches Umland,6.6,5.7
Südwestpfalz,7340,RP,Ländliches Umland,6.6,5.7
Fürth,9563,BY,Kernstädte,6.6,5.7
Augsburg,9761,BY,Kernstädte,6.6,5.7
Saarbrücken,10041,SL,Verdichtetes Umland,6.6,5.7
Saarpfalz-Kreis,10045,SL,Verdichtetes Umland,6.6,5.7
Chemnitz,14511,SN,Kernstädte,6.6,5.7
Hamburg,2000,HH,Kernstädte,6.5,5.7
Heidekreis,3358,NI,Ländlicher Raum,6.5,5.7
Mettmann,5158,NO,Verdichtetes Umland,6.5,5.7
Remscheid,5120,NO,Kernstädte,6.5,5.7
Schwalm-Eder-Kreis,6634,HE,Ländliches Umland,6.5,5.7
Lahn-Dill-Kreis,6532,HE,Verdichtetes Umland,6.5,5.7
Bergstraße,6431,HE,Verdichtetes Umland,6.5,5.7
Mainz,7315,RP,Kernstädte,6.5,5.7
Bad Kissingen,9672,BY,Ländlicher Raum,6.5,5.7
Günzburg,9774,BY,Verdichtetes Umland,6.5,5.7
Dresden,14612,SN,Kernstädte,6.5,5.7
Steinburg,1061,SH,Ländlicher Raum,6.4,5.7
