Region,Regions-ID,KV,Kreistyp,Wert,Bundeswert
Lk.Hof,9475,BY,Ländliches Umland,6.43,3.11
Mansfeld-Südharz,15087,ST,Ländlicher Raum,6.37,3.11
Hof,9464,BY,Ländliches Umland,6.36,3.11
Harz,15085,ST,Ländliches Umland,6.16,3.11
Börde,15083,ST,Ländlicher Raum,6.14,3.11
Unstrut-Hainich-Kreis,16064,TH,Ländlicher Raum,5.99,3.11
Kronach,9476,BY,Ländliches Umland,5.87,3.11
Saalfeld-Rudolstadt,16073,TH,Ländlicher Raum,5.85,3.11
Erzgebirgskreis,14521,SN,Verdichtetes Umland,5.76,3.11
Kusel,7336,RP,Ländliches Umland,5.59,3.11
Lk.Bamberg,9471,BY,Ländliches Umland,5.57,3.11
Rottal-Inn,9277,BY,Ländlicher Raum,5.56,3.11
Eichsfeld,16061,TH,Ländliches Umland,5.56,3.11
Wilhelmshaven,3405,NI,Verdichtetes Umland,5.51,3.11
Birkenfeld,7134,RP,Ländlicher Raum,5.5,3.11
Anhalt-Bitterfeld,15082,ST,Verdichtetes Umland,5.49,3.11
Weißenburg-Gunzenhausen,9577,BY,Ländlicher Raum,5.4,3.11
Neustadt-Bad Windsheim,9575,BY,Ländlicher Raum,5.4,3.11
Dingolfing-Landau,9279,BY,Ländliches Umland,5.32,3.11
Nordhausen,16062,TH,Ländlicher Raum,5.3,3.11
Freyung-Grafenau,9272,BY,Ländlicher Raum,5.25,3.11
Hohenlohekreis,8126,BW,Ländliches Umland,5.22,3.11
Osterode,3156,NI,Ländliches Umland,5.16,3.11
Saalekreis,15088,ST,Ländliches Umland,5.14,3.11
Kyffhäuserkreis,16065,TH,Ländlicher Raum,5.13,3.11
Salzgitter,3102,NI,Kernstädte,5.07,3.11
Neuburg-Schrobenhausen,9185,BY,Ländlicher Raum,5.06,3.11
Sömmerda,16068,TH,Ländlicher Raum,5.03,3.11
Bamberg,9461,BY,Ländliches Umland,5.01,3.11
Wittenberg,15091,ST,Ländlicher Raum,4.97,3.11
Lk.Coburg,9473,BY,Ländliches Umland,4.94,3.11
Cloppenburg,3453,NI,Ländlicher Raum,4.9,3.11
Südwestpfalz,7340,RP,Ländliches Umland,4.9,3.11
Salzlandkreis,15089,ST,Ländliches Umland,4.9,3.11
Hildburghausen,16069,TH,Ländlicher Raum,4.86,3.11
Passau,9262,BY,Ländliches Umland,4.85,3.11
Göppingen,8117,BW,Verdichtetes Umland,4.84,3.11
Kulmbach,9477,BY,Ländlicher Raum,4.77,3.11
Eifelkreis Bitburg-Prüm,7232,RP,Ländlicher Raum,4.73,3.11
Erfurt,16051,TH,Kernstädte,4.73,3.11
Haßberge,9674,BY,Ländlicher Raum,4.72,3.11
Ansbach,9561,BY,Ländlicher Raum,4.72,3.11
Lk.Bayreuth,9472,BY,Ländlicher Raum,4.71,3.11
Sonneberg,16072,TH,Ländlicher Raum,4.66,3.11
Grafschaft Bentheim,3456,NI,Ländlicher Raum,4.65,3.11
Straubing-Bogen,9278,BY,Ländlicher Raum,4.61,3.11
Heinsberg,5370,NO,Verdichtetes Umland,4.58,3.11
Saale-Orla-Kreis,16075,TH,Ländlicher Raum,4.58,3.11
Verden,3361,NI,Ländliches Umland,4.57,3.11
Lk.Landshut,9274,BY,Ländliches Umland,4.56,3.11
Lk.Passau,9275,BY,Ländliches Umland,4.55,3.11
Donau-Ries,9779,BY,Ländliches Umland,4.52,3.11
Schmalkalden-Meiningen,16066,TH,Ländlicher Raum,4.52,3.11
Wolfenbüttel,3158,NI,Ländliches Umland,4.48,3.11
Greiz,16076,TH,Verdichtetes Umland,4.48,3.11
Halle,15002,ST,Kernstädte,4.43,3.11
Wunsiedel,9479,BY,Ländliches Umland,4.41,3.11
Merzig-Wadern,10042,SL,Verdichtetes Umland,4.4,3.11
