CountyID,DiseaseR,NO,NO2,PM1
16072,8.7,353.0,483.0,1147.0
16073,8.3,2499.0,2426.0,3914.0
8128,8.0,2242.0,2323.0,3521.0
6413,7.9,7812.0,7647.0,5730.0
1001,7.7,7775.0,6758.0,5273.0
3405,7.7,1248.0,1456.0,3273.0
16062,7.7,3213.0,3038.0,3846.0
16054,7.5,3653.0,3002.5,2949.0
3453,7.4,1820.0,2381.0,4422.0
5162,7.4,2474.0,3740.0,5874.0
3102,7.3,2429.0,3130.0,3714.0
6636,7.3,165.0,319.0,2586.0
5124,7.2,6111.0,6987.5,5380.5
5116,7.2,5866.0,5758.5,5231.333333333333
5122,7.2,5948.5,6323.5,5483.0
10044,7.2,2175.3333333333335,2838.6666666666665,3653.6666666666665
16077,7.2,3674.0,3663.0,3986.0
3360,7.1,287.0,547.0,2721.0
5970,7.1,244.0,433.0,2281.0
5954,7.1,3674.0,4327.0,3884.0
12060,7.1,7456.0,5325.0,5117.0
3155,7.0,222.0,705.0,2774.0
1054,6.9,298.0,499.0,3090.0
5513,6.9,6048.0,7078.0,7461.0
3452,6.8,460.0,1051.0,4067.0
5913,6.8,7176.666666666667,7493.0,6002.333333333333
5316,6.8,5890.5,7012.0,5158.5
6633,6.8,292.0,851.0,2720.0
7232,6.8,947.0,1560.6666666666667,2941.0
16051,6.8,4108.333333333333,4430.0,3994.6666666666665
14713,6.8,6329.333333333333,5993.333333333333,5101.333333333333
3454,6.7,1600.0,2731.0,4037.0
3241,6.7,5002.0,5774.5,4698.0
6531,6.7,8620.0,8253.0,6272.0
7336,6.7,409.0,606.0,2473.0
9461,6.7,5382.0,4988.0,4793.0
16066,6.7,1845.0,1762.5,2465.5
6534,6.6,5787.5,6089.5,5081.0
7340,6.6,129.0,351.0,1876.0
9761,6.6,5780.25,5661.5,4477.5
10041,6.6,5799.2,4941.4,4528.0
14511,6.6,4895.0,4728.0,5382.0
3358,6.5,1265.0,1817.0,4149.0
5158,6.5,3555.0,5765.0,4739.0
6532,6.5,6240.0,6137.0,5878.0
6431,6.5,333.0,771.0,3867.5
7315,6.5,6569.4,6807.6,5205.666666666667
14612,6.5,6025.0,5945.666666666667,5479.0
1061,6.4,8156.0,7341.0,4205.0
3402,6.4,2525.0,2909.0,3820.0
5978,6.4,3517.3333333333335,4963.0,4158.0
5113,6.4,6350.25,7009.0,6057.333333333333
5314,6.4,4676.0,5422.0,4290.0
6611,6.4,6021.5,6081.0,5649.5
7138,6.4,5446.5,5490.0,5252.0
12065,6.4,67.0,170.0,2436.0
5515,6.3,5263.0,5771.0,5726.0
5362,6.3,3324.0,3907.0,4811.0
5315,6.3,6440.75,7052.25,5872.5
6414,6.3,7134.0,7443.666666666667,5197.0
9162,6.3,6159.4,6504.6,5356.5
1003,6.2,4183.0,4186.5,4146.0
3153,6.2,529.0,597.0,1978.0
5166,6.2,5045.0,4006.0,5462.0
5334,6.2,3639.6666666666665,3430.3333333333335,3944.3333333333335
6435,6.2,2213.5,3125.5,4324.0
6533,6.2,5270.0,4870.0,4588.0
7312,6.2,4453.0,4404.0,4230.0
7314,6.2,6205.0,6253.666666666667,5263.0
7132,6.2,162.0,548.0,2016.0
12072,6.2,2017.0,2952.0,5418.0
3404,6.1,4933.5,5835.5,5001.0
3101,6.1,4649.0,4820.0,4391.5
6433,6.1,3965.0,4574.0,4490.5
7317,6.1,5140.0,2916.0,4070.0
7111,6.1,7432.0,7522.0,4865.0
9261,6.1,6370.0,6389.0,4701.0
8226,6.0,3090.0,3430.0,4018.0
12069,6.0,168.0,414.0,3665.0
12054,6.0,5094.25,4824.0,4944.75
12067,6.0,1139.0,1093.0,4083.0
1060,5.9,8338.5,7791.5,7432.0
1002,5.9,8444.0,7582.5,5957.0
3352,5.9,1329.0,1518.0,3255.0
5117,5.9,3538.0,5599.0,5905.0
6412,5.9,7330.333333333333,7650.0,5317.666666666667
6635,5.9,316.0,579.5,2951.0
9565,5.9,4797.0,4444.0,4433.0
9663,5.9,8273.0,6345.0,5166.5
9564,5.9,6997.333333333333,7106.666666666667,5603.0
4012,5.8,6330.5,5818.5,4729.0
3103,5.8,5340.0,5291.0,4092.0
3355,5.8,2622.0,3006.0,3351.0
5711,5.8,6250.5,5874.0,5794.0
5554,5.8,3452.0,3952.0,5577.0
5112,5.8,5746.0,6957.333333333333,5600.666666666667
13003,5.8,5817.25,4419.5,5151.0
12064,5.8,472.0,878.0,4328.0
12068,5.8,4845.0,3683.0,4032.0
16076,5.8,2659.0,2598.0,3500.0
14730,5.8,303.0,862.0,2670.0
1057,5.7,354.0,1090.0,3245.0
3354,5.7,983.0,1203.0,3320.0
6631,5.7,4317.0,4217.333333333333,3987.0
8222,5.7,6136.0,6959.5,4803.0
8231,5.7,4916.0,4542.0,4519.0
9780,5.7,3552.0,801.0,1184.0
9662,5.7,5721.0,5276.0,4357.0
15002,5.7,5495.666666666667,5427.0,4746.0
14627,5.7,1045.0,1966.0,3603.0
5114,5.6,5483.0,6367.0,3312.0
12052,5.6,4619.0,4247.5,5068.0
15090,5.6,1234.0,1480.0,3670.0
16074,5.6,141.0,399.0,2389.0
5974,5.5,2918.0,2005.5,4540.0
5111,5.5,5964.5,6879.5,5808.0
6437,5.5,2537.0,3060.0,4154.0
9362,5.5,8226.0,7846.0,4644.0
15084,5.5,4851.0,3143.0,3789.0
16065,5.5,108.0,366.0,2061.0
16052,5.5,3049.0,3060.0,3926.0
14523,5.5,3877.6666666666665,2453.0,3062.3333333333335
3257,5.4,1438.0,2415.0,3892.0
3359,5.4,1373.0,2085.0,3290.0
5119,5.4,8299.0,8289.0,7682.0
6434,5.4,209.0,518.0,1598.0
7140,5.4,207.0,460.0,2353.0
8121,5.4,7125.0,6733.0,4926.0
12051,5.4,4215.0,3716.5,4791.5
15082,5.4,1527.5,1785.0,3993.0
16053,5.4,1760.0,3203.0,3824.0
3357,5.3,3119.0,3169.0,5339.0
5512,5.3,4410.0,5617.0,5831.0
5170,5.3,3840.0,4643.0,4916.0
6632,5.3,2357.5,1868.5,4692.0
7319,5.3,6261.0,5792.0,5486.0
8118,5.3,6374.0,6547.5,3999.0
8221,5.3,5286.0,5479.0,3864.0
5562,5.2,4523.333333333333,5505.666666666667,4997.0
7334,5.2,2839.0,3479.0,4371.0
7134,5.2,130.0,339.0,1733.0
7211,5.2,5644.0,5340.5,4780.0
12063,5.2,1166.0,1558.0,4444.0
15003,5.2,5755.0,5604.333333333333,5215.666666666667
15088,5.2,1488.0,1969.0,3801.0
15001,5.2,5691.0,3805.0,4475.0
12061,5.1,2789.5,2137.0,4035.0
12062,5.1,1559.0,1740.0,4675.0
9171,5.0,6458.0,4495.0,4114.0
9462,5.0,7520.0,6726.0,4853.0
13075,5.0,360.0,457.0,4077.0
12073,5.0,1133.0,823.0,3758.0
14522,5.0,3395.5,2837.5,2998.0
