CountyID,DiseaseRFeat,NO,NO2,PM1
16072,True,7.0,21.0,275.0
16073,True,747.0,538.0,1456.0
8128,True,701.0,511.0,1559.0
6413,True,4617.0,4931.0,3215.0
1001,True,5491.0,3638.0,2488.0
3405,True,114.0,271.0,1542.0
16062,True,835.0,874.0,1674.0
16054,True,2117.0,1384.5,1076.0
3453,True,248.0,415.0,2526.0
5162,True,674.0,1344.0,3255.0
3102,True,314.0,527.0,1707.0
6636,True,13.0,67.0,1105.0
5124,True,3991.5,4394.5,2692.0
5116,True,2413.5,2665.5,2838.0
5122,True,3481.5,3490.0,2554.5
10044,True,665.3333333333334,818.3333333333335,1625.0
16077,True,741.0,903.0,1715.0
3360,True,9.0,91.0,1060.0
5970,True,34.0,80.0,791.0
5954,True,936.0,1145.0,1759.0
12060,True,3756.5,1691.5,2870.0
3155,True,30.0,90.0,1106.0
1054,True,14.0,76.0,980.0
5513,True,3955.0,4497.0,4881.0
3452,True,29.0,179.0,1804.0
5913,True,4102.0,4697.666666666667,3272.0
5316,True,3506.0,4115.0,2495.0
6633,True,15.0,199.0,971.0
7232,True,282.3333333333333,387.33333333333326,1287.3333333333333
16051,True,2079.0,2002.666666666667,1866.0
14713,True,4152.666666666667,3508.333333333333,2577.333333333333
3454,True,252.0,536.0,2151.0
3241,True,3029.0,3309.5,2432.0
6531,True,7007.0,6014.0,3553.0
7336,True,15.0,110.0,1022.0
9461,True,2006.0,1970.0,2528.0
16066,True,554.0,515.0,871.0
6534,True,3206.5,3102.5,2566.5
7340,True,13.0,44.0,707.0
9761,True,2596.25,2939.0,2251.5
10041,True,2190.6,2028.6,2012.0
14511,True,2789.0,2506.0,2452.0
3358,True,279.0,299.0,2150.0
5158,True,1224.0,2593.0,2197.0
6532,True,3208.0,2742.0,3238.0
6431,True,48.0,91.0,1688.0
7315,True,4100.2,4420.6,2918.0
14612,True,3648.0,3085.0,2544.6666666666665
1061,True,6208.0,4413.0,2139.0
3402,True,382.0,653.0,1897.0
5978,True,1086.0,1853.666666666667,1916.0
5113,True,3075.5,4029.0,3365.666666666666
5314,True,1593.0,2664.0,2311.0
6611,True,3320.5,3234.5,3227.5
7138,True,2194.5,2187.5,3146.5
12065,True,3.0,3.0,1101.0
5515,True,3007.0,3120.0,2901.0
5362,True,1006.0,1538.0,2244.0
5315,True,3988.0,4727.75,3152.0
6414,True,5166.333333333333,5181.333333333333,2442.0
9162,True,3967.4,4361.8,2879.0
1003,True,1637.5,1450.0,1731.0
3153,True,53.5,103.5,678.0
5166,True,1831.0,1635.0,2621.0
5334,True,2143.6666666666665,2132.6666666666665,1775.333333333333
6435,True,759.0,1369.5,1788.0
6533,True,2238.0,1809.0,2474.0
7312,True,1127.0,1354.0,1959.0
7314,True,3506.0,3829.666666666666,3319.0
7132,True,27.0,85.0,678.0
12072,True,429.0,641.0,3220.0
3404,True,3332.0,3324.5,2675.5
3101,True,2996.0,2331.5,2235.0
6433,True,1484.0,1924.5,2087.5
7317,True,819.0,526.0,1882.0
7111,True,4241.0,4690.5,2573.0
9261,True,2395.0,2594.0,2360.0
8226,True,532.0,951.0,1820.0
12069,True,0.0,29.0,1745.0
12054,True,2719.25,2317.75,2636.25
12067,True,123.0,141.0,2123.0
1060,True,6316.0,5589.5,4524.0
1002,True,6792.0,5494.0,3160.0
3352,True,129.0,272.0,1584.0
5117,True,1267.0,2594.0,3567.0
6412,True,3772.666666666666,4906.0,3102.0
6635,True,23.0,132.0,1340.5
9565,True,1457.0,1604.0,2231.0
9663,True,5201.0,3539.5,3137.0
9564,True,3466.333333333333,3975.333333333334,3383.0
4012,False,3596.5,2603.0,2591.5
3103,False,2532.5,2295.5,1924.5
3355,False,478.0,739.0,1486.0
5711,False,3012.5,2679.5,3084.0
5554,False,857.0,1385.0,2654.0
5112,False,2235.6666666666665,3695.333333333334,2887.666666666666
13003,False,2818.25,2067.5,2600.75
